type_of_property,price,building_condition,facade_number,living_area,equipped_kitchen,terrace,garden,subtype_ecoded,km_to_capital
0,429000.0,2,2.0,147,0,6,0,7,21.36
0,445000.0,2,2.0,101,0,10,0,7,1.61
0,249000.0,2,2.0,92,1,8,0,7,4.01
0,335000.0,2,2.0,84,1,18,0,7,37.23
0,179000.0,1,2.0,97,1,15,5,7,21.84
0,179000.0,1,2.0,97,1,15,5,7,14.35
0,195000.0,2,2.0,69,1,0,0,7,11.24
0,215000.0,2,2.0,100,0,0,0,7,14.43
0,232000.0,2,2.0,71,1,0,0,7,1.61
0,239000.0,2,2.0,95,0,0,0,15,4.01
0,295000.0,2,2.0,63,1,1,0,7,35.36
0,299000.0,2,2.0,115,1,1,0,11,29.99
0,299500.0,2,2.0,79,1,7,0,7,21.69
0,299500.0,2,2.0,79,1,7,0,7,21.69
0,305000.0,2,2.0,80,1,7,0,7,21.69
0,305000.0,2,2.0,120,0,1,0,7,40.36
0,349000.0,2,2.0,77,0,14,0,7,0.71
0,325000.0,2,2.0,94,0,5,29,7,27.25
0,225000.0,2,2.0,82,1,63,0,7,27.16
0,265000.0,2,3.0,96,2,0,0,7,1.22
0,349000.0,2,2.0,101,0,0,0,7,10.93
0,799000.0,2,2.0,180,2,28,90,7,5.29
0,2975000.0,2,2.0,125,2,37,0,7,17.1
0,169900.0,2,2.0,59,1,0,0,7,22.89
0,179000.0,1,2.0,76,1,0,0,7,3.91
0,245000.0,2,2.0,78,1,12,0,7,21.69
0,269900.0,2,2.0,90,1,0,33,7,2.07
0,205000.0,1,2.0,92,2,16,0,7,3.33
0,275000.0,2,2.0,100,1,19,0,7,2.53
0,285000.0,2,2.0,74,1,1,100,7,3.32
0,317500.0,2,2.0,85,1,6,0,7,28.25
0,345000.0,2,2.0,87,2,3,0,7,0.41
0,279000.0,2,2.0,86,0,1,0,7,21.36
0,279000.0,2,2.0,85,1,1,0,7,15.77
0,374000.0,2,2.0,217,0,6,0,7,18.6
0,119000.0,0,2.0,69,0,1,0,7,21.36
0,165000.0,2,2.0,100,2,5,0,7,43.59
0,169500.0,1,2.0,70,2,0,0,6,3.33
0,245000.0,2,2.0,80,1,0,0,7,24.02
0,298000.0,2,3.0,102,0,1,0,7,4.04
0,300000.0,2,2.0,130,1,30,0,15,4.01
1,335000.0,2,3.0,132,0,22,0,12,5.95
0,360000.0,2,2.0,63,2,1,0,7,29.31
0,269000.0,2,2.0,82,0,12,0,7,35.07
0,495000.0,2,2.0,116,1,23,0,15,1.07
0,985000.0,2,2.0,126,0,17,0,7,1.61
0,199000.0,2,2.0,55,1,1,0,7,13.72
0,235000.0,1,2.0,70,1,0,0,7,5.29
0,685000.0,2,2.0,205,2,0,0,15,1.07
0,220000.0,1,2.0,100,0,17,0,7,4.01
0,220000.0,2,2.0,117,2,1,0,7,1104.62
0,345000.0,2,2.0,64,0,20,0,7,3.3
0,185000.0,2,2.0,97,1,1,0,7,18.82
1,325000.0,2,2.0,93,1,17,0,12,3.91
0,325000.0,2,2.0,93,1,17,0,7,3.91
0,335000.0,2,2.0,80,2,8,0,7,5.01
0,385000.0,2,2.0,117,1,6,0,7,5.29
1,499000.0,2,2.0,155,1,27,0,12,5.29
0,600000.0,2,2.0,135,0,50,300,6,5.1
1,328000.0,2,2.0,113,1,15,0,12,3.32
0,165000.0,2,4.0,92,1,1,0,7,43.83
1,449000.0,2,2.0,156,2,0,0,12,5.01
0,619000.0,2,2.0,130,2,0,0,7,9.77
0,259000.0,1,2.0,72,0,9,0,7,27.05
0,345000.0,2,2.0,87,2,3,0,7,2.57
0,399000.0,2,2.0,107,1,50,0,15,1.07
0,495000.0,1,2.0,142,1,26,0,7,6.38
0,645000.0,2,2.0,100,1,60,0,7,0.41
0,645000.0,2,2.0,100,1,60,0,15,0.41
0,199000.0,1,2.0,77,0,0,0,7,2.47
0,225000.0,1,2.0,82,0,3,0,7,4.01
0,249000.0,2,2.0,98,2,0,0,7,38.32
0,259000.0,2,2.0,110,1,20,0,7,21.07
0,279000.0,2,2.0,95,0,0,0,7,2.74
0,469000.0,2,2.0,140,0,0,0,7,13.72
0,189000.0,2,2.0,57,0,0,0,7,20.67
0,325000.0,2,2.0,79,0,1,0,7,23.19
0,209000.0,2,2.0,99,1,1,0,7,5.96
0,209000.0,2,2.0,99,1,1,0,7,7.81
0,249000.0,2,2.0,88,1,9,0,7,12.62
0,369000.0,2,2.0,130,0,9,0,7,5.95
0,549500.0,2,2.0,142,2,15,0,7,1.07
0,549500.0,2,2.0,142,2,15,0,15,1.07
0,200000.0,2,2.0,47,1,8,0,7,24.36
0,398000.0,2,2.0,74,0,1,0,7,1.61
0,157500.0,1,2.0,37,0,1,0,2,13.72
0,265000.0,2,4.0,100,0,20,0,7,3.32
0,169000.0,1,2.0,57,0,6,0,7,5.1
0,169000.0,1,2.0,57,0,6,0,7,5.1
0,179000.0,2,2.0,69,1,1,0,7,24.7
0,259000.0,1,2.0,86,0,0,0,7,0.41
0,265000.0,1,2.0,86,0,0,0,7,0.41
0,265000.0,1,2.0,86,0,0,0,7,0.41
0,295000.0,1,3.0,86,2,23,0,7,5.29
0,299000.0,1,2.0,105,0,0,0,7,0.41
0,299000.0,1,2.0,105,0,0,0,7,0.41
0,325000.0,1,2.0,105,0,0,0,7,0.41
0,415000.0,2,2.0,123,1,5,0,7,0.41
1,425000.0,2,2.0,110,1,16,0,12,0.41
1,495000.0,2,2.0,146,1,12,0,12,0.41
0,135000.0,1,2.0,37,2,1,0,7,4.15
0,169000.0,2,2.0,111,0,0,0,7,18.52
0,239000.0,2,3.0,47,1,2,0,7,0.41
0,339000.0,2,2.0,136,1,16,0,7,6.62
0,339000.0,2,2.0,121,0,7,0,7,18.52
0,369000.0,2,2.0,122,1,6,35,7,5.95
0,399000.0,2,2.0,142,0,60,0,7,1.61
0,645000.0,2,2.0,165,1,6,0,7,3.3
0,895000.0,2,2.0,146,0,1,0,7,1.61
0,379000.0,2,2.0,84,2,20,0,7,1.07
0,269000.0,2,2.0,90,2,18,0,7,6.04
0,299000.0,1,2.0,168,1,1,0,7,21.69
0,350000.0,2,2.0,56,2,1,0,7,2.57
0,275000.0,1,2.0,135,0,0,0,7,2.47
1,285000.0,2,3.0,80,0,0,0,12,4.04
1,299000.0,1,2.0,131,0,0,0,12,0.41
0,650000.0,2,2.0,225,2,1,0,11,50.59
0,295000.0,2,2.0,75,1,18,0,7,18.15
0,565000.0,2,2.0,84,0,1,0,7,1.61
0,230000.0,2,2.0,68,1,9,0,3,6.35
0,380000.0,1,2.0,85,2,3,0,7,3.3
